experiment,n_feats,macro_all,f1_0_all,f1_1_all,macro_cold,f1_0_cold,f1_1_cold
A: baseline v12 (base+struct7),48,0.6731535781368739,0.41237113402061853,0.9339360222531293,0.6509151371081927,0.3402985074626866,0.9615317667536989
B: + chunk-distribution (quantiles/topk/entropy/run),66,0.6667745361121884,0.40027748872702046,0.9332715834973563,0.6375539136890771,0.31830726770929163,0.9568005596688626
C: + support/conflict/margin scores,69,0.669380924715278,0.4103879448541199,0.9283739045764362,0.6369236514372346,0.3205456095481671,0.9533016933263022
D: + NMF topic cosine + KL/JS divergence,73,0.6681911347161452,0.40934933670246365,0.9270329327298268,0.639182125049652,0.31749241658240646,0.9608718335168975
E: class_weight 0:1.0:1 (cold-tuned),73,,,,0.6492982973716082,0.3350895679662803,0.963507026776936
E: class_weight 0:1.5:1 (cold-tuned),73,,,,0.6409494349203921,0.3160322952710496,0.9658665745697347
E: class_weight 0:2.0:1 (cold-tuned),73,,,,0.6517679348073102,0.341948310139165,0.9615875594754555
E: class_weight 0:3.0:1 (cold-tuned),73,,,,0.6485021704683854,0.34167385677308026,0.9553304841636906
E: class_weight 0:4.0:1 (cold-tuned),73,,,,0.6504770272866144,0.33874239350912777,0.962211661064101
F: threshold tuned for F1-0 only (t=0.675),73,,,,0.6517679348073102,0.341948310139165,0.9615875594754555
