name,acc,macro_f1,f1_0,f1_1,precision_0,recall_0
baseline: always 1,0.9536152796725784,0.48812849162011174,0.0,0.9762569832402235,0.0,0.0
baseline: hard rule (=always 1 here),0.9536152796725784,0.48812849162011174,0.0,0.9762569832402235,0.0,0.0
B0: retrieval-only (t=0.050),0.9836289222373806,0.9167360848163575,0.8421052631578947,0.9913669064748202,0.7619047619047619,0.9411764705882353
B1: + edit/conflict (t=0.625),0.9727148703956344,0.8576809568188879,0.7297297297297297,0.985632183908046,0.675,0.7941176470588235
B2: + body evidence (t=0.925),0.9590723055934516,0.80623502044269,0.6341463414634146,0.9783236994219653,0.5416666666666666,0.7647058823529411
B3: + negative-prototype (t=0.850),0.9686221009549796,0.8342101898927121,0.684931506849315,0.9834888729361091,0.6410256410256411,0.7352941176470589
B4: class_weight 0:1.0:1 (t=0.950),0.9645293315143247,0.8101187629523354,0.6388888888888888,0.9813486370157819,0.6052631578947368,0.6764705882352942
B4: class_weight 0:1.5:1 (t=0.950),0.9645293315143247,0.8149852438645542,0.6486486486486487,0.9813218390804598,0.6,0.7058823529411765
B4: class_weight 0:2.0:1 (t=0.950),0.9686221009549796,0.8297844414155182,0.676056338028169,0.9835125448028674,0.6486486486486487,0.7058823529411765
B4: class_weight 0:3.0:1 (t=0.950),0.9618008185538881,0.800753339546443,0.6216216216216216,0.9798850574712644,0.575,0.6764705882352942
B4: class_weight 0:4.0:1 (t=0.875),0.965893587994543,0.8098928345419273,0.6376811594202898,0.9821045096635648,0.6285714285714286,0.6470588235294118
B4: class_weight 0:5.0:1 (t=0.950),0.9631650750341064,0.8149561022131216,0.6493506493506493,0.980561555075594,0.5813953488372093,0.7352941176470589
