iter	Passed	Remaining
0	8	7017
1	16	6702
2	24	6585
3	32	6525
4	40	6460
5	48	6398
6	56	6359
7	64	6352
8	72	6337
9	79	6313
10	87	6300
11	95	6302
12	103	6281
13	111	6269
14	119	6259
15	128	6285
16	136	6265
17	143	6253
18	151	6236
19	159	6219
20	167	6211
21	175	6203
22	183	6192
23	191	6192
24	199	6190
25	207	6184
26	215	6162
27	223	6168
28	232	6174
29	240	6166
30	248	6170
31	257	6179
32	265	6174
33	273	6164
34	281	6158
35	290	6155
36	297	6138
37	305	6128
38	313	6121
39	321	6109
40	329	6102
41	337	6097
42	345	6087
43	353	6080
44	362	6078
45	370	6075
46	378	6069
47	387	6063
48	395	6055
49	403	6054
50	411	6050
51	420	6050
52	428	6043
53	437	6037
54	445	6032
55	453	6025
56	461	6021
57	470	6014
58	478	6007
59	486	5998
60	494	5990
61	502	5980
62	510	5968
63	518	5961
64	526	5959
65	534	5947
66	542	5938
67	550	5929
68	559	5922
69	567	5918
70	575	5907
71	583	5897
72	591	5887
73	599	5879
74	607	5872
75	616	5868
76	624	5863
77	633	5865
78	642	5863
79	651	5861
80	660	5859
81	668	5856
82	677	5851
83	686	5847
84	694	5843
85	703	5838
86	715	5860
87	723	5855
88	732	5851
89	741	5846
90	749	5838
91	758	5834
92	766	5827
93	775	5822
94	783	5817
95	792	5810
96	800	5803
97	809	5795
98	817	5789
99	826	5782
100	834	5778
101	843	5772
102	852	5766
103	860	5760
104	869	5755
105	878	5751
106	886	5744
107	895	5740
108	904	5734
109	913	5731
110	922	5726
111	931	5720
112	939	5711
113	947	5702
114	956	5696
115	964	5688
116	973	5680
117	981	5674
118	990	5671
119	1000	5666
120	1008	5661
121	1017	5656
122	1026	5650
123	1035	5642
124	1043	5635
125	1052	5630
126	1060	5622
127	1069	5614
128	1078	5608
129	1086	5600
130	1094	5591
131	1103	5582
132	1111	5575
133	1120	5571
134	1129	5565
135	1139	5562
136	1147	5554
137	1156	5548
138	1165	5541
139	1174	5535
140	1182	5528
141	1191	5520
142	1200	5514
143	1208	5507
144	1217	5500
145	1225	5491
146	1234	5483
147	1243	5479
148	1252	5470
149	1260	5462
150	1269	5454
151	1277	5447
152	1286	5441
153	1295	5434
154	1304	5427
155	1312	5420
156	1321	5412
157	1330	5404
158	1338	5394
159	1346	5386
160	1354	5376
161	1362	5366
162	1371	5358
163	1379	5349
164	1388	5342
165	1397	5336
166	1406	5330
167	1415	5323
168	1423	5316
169	1433	5311
170	1441	5303
171	1450	5295
172	1458	5286
173	1467	5278
174	1476	5273
175	1484	5264
176	1493	5256
177	1502	5250
178	1511	5243
179	1520	5236
180	1529	5231
181	1538	5223
182	1546	5215
183	1556	5211
184	1562	5193
185	1570	5184
186	1579	5176
187	1587	5168
188	1595	5159
189	1604	5151
190	1612	5142
191	1621	5134
192	1629	5126
193	1638	5117
194	1647	5110
195	1656	5103
196	1664	5096
197	1673	5088
198	1682	5080
199	1694	5083
200	1705	5081
201	1715	5078
202	1724	5072
203	1733	5065
204	1743	5061
205	1752	5054
206	1762	5048
207	1771	5041
208	1780	5035
209	1790	5029
210	1800	5026
211	1809	5017
212	1817	5008
213	1826	5000
214	1834	4992
215	1843	4983
216	1851	4975
217	1860	4967
218	1869	4959
219	1878	4951
220	1886	4943
221	1895	4934
222	1903	4925
223	1912	4917
224	1921	4910
225	1930	4902
226	1938	4894
227	1947	4886
228	1957	4880
229	1965	4870
230	1973	4861
231	1982	4852
232	1990	4844
233	1998	4834
234	2007	4825
235	2015	4816
236	2023	4807
237	2032	4799
238	2041	4791
239	2049	4782
240	2058	4774
241	2066	4765
242	2075	4757
243	2084	4749
244	2093	4741
245	2101	4733
246	2110	4724
247	2119	4716
248	2127	4708
249	2135	4698
250	2144	4689
251	2152	4681
252	2162	4674
253	2170	4666
254	2179	4657
255	2187	4648
256	2196	4640
257	2205	4632
258	2213	4624
259	2223	4617
260	2231	4609
261	2240	4600
262	2249	4592
263	2257	4583
264	2266	4575
265	2274	4567
266	2283	4558
267	2291	4549
268	2300	4541
269	2309	4533
270	2317	4524
271	2326	4515
272	2334	4507
273	2343	4498
274	2351	4489
275	2360	4481
276	2370	4474
277	2376	4461
278	2384	4453
279	2394	4446
280	2402	4437
281	2411	4429
282	2420	4421
283	2428	4413
284	2437	4405
285	2446	4396
286	2455	4389
287	2464	4381
288	2473	4373
289	2482	4365
290	2491	4357
291	2499	4349
292	2508	4341
293	2517	4332
294	2526	4324
295	2534	4315
296	2542	4306
297	2551	4298
298	2559	4289
299	2568	4280
300	2577	4272
301	2585	4264
302	2594	4255
303	2603	4247
304	2611	4238
305	2619	4229
306	2628	4220
307	2637	4213
308	2646	4205
309	2655	4197
310	2663	4188
311	2673	4181
312	2685	4178
313	2693	4169
314	2702	4161
315	2711	4152
316	2719	4143
317	2727	4134
318	2736	4126
319	2746	4119
320	2754	4110
321	2763	4102
322	2771	4093
323	2780	4084
324	2789	4076
325	2797	4067
326	2805	4058
327	2814	4050
328	2823	4041
329	2831	4033
330	2840	4024
331	2848	4016
332	2857	4007
333	2866	3999
334	2874	3989
335	2882	3980
336	2891	3972
337	2899	3962
338	2907	3953
339	2916	3945
340	2925	3937
341	2933	3928
342	2941	3919
343	2950	3910
344	2958	3902
345	2967	3893
346	2975	3884
347	2984	3876
348	2993	3868
349	3001	3859
350	3010	3850
351	3018	3841
352	3027	3833
353	3035	3824
354	3044	3815
355	3052	3807
356	3061	3798
357	3069	3790
358	3078	3781
359	3086	3772
360	3095	3763
361	3103	3755
362	3111	3746
363	3120	3737
364	3128	3728
365	3137	3720
366	3146	3711
367	3154	3703
368	3162	3694
369	3171	3685
370	3180	3677
371	3189	3669
372	3198	3661
373	3207	3653
374	3215	3644
375	3225	3636
376	3233	3628
377	3242	3619
378	3250	3610
379	3259	3602
380	3267	3593
381	3275	3584
382	3284	3576
383	3293	3567
384	3301	3558
385	3309	3549
386	3317	3540
387	3327	3532
388	3335	3524
389	3344	3515
390	3353	3507
391	3362	3499
392	3371	3491
393	3379	3482
394	3387	3473
395	3396	3464
396	3404	3455
397	3412	3447
398	3421	3438
