iter	Passed	Remaining
0	14	11611
1	28	11264
2	42	11158
3	54	10926
4	68	10882
5	81	10796
6	95	10766
7	108	10772
8	122	10774
9	135	10743
10	149	10705
11	163	10712
12	176	10684
13	189	10664
14	203	10653
15	217	10658
16	231	10684
17	245	10663
18	259	10655
19	272	10639
20	287	10663
21	301	10664
22	315	10672
23	330	10672
24	343	10645
25	356	10618
26	370	10605
27	384	10596
28	397	10581
29	411	10563
30	424	10542
31	439	10537
32	452	10520
33	467	10527
34	480	10511
35	495	10505
36	508	10484
37	521	10467
38	535	10449
39	548	10428
40	562	10411
41	576	10404
42	590	10389
43	603	10368
44	616	10349
45	630	10339
46	643	10315
47	657	10305
48	671	10289
49	685	10283
50	698	10262
51	712	10249
52	725	10229
53	739	10211
54	753	10199
55	766	10180
56	779	10162
57	794	10165
58	808	10155
59	825	10179
60	839	10171
61	853	10157
62	867	10147
63	881	10131
64	894	10114
65	909	10109
66	922	10088
67	935	10075
68	949	10060
69	962	10039
70	976	10023
71	989	10002
72	1002	9988
73	1016	9974
74	1030	9961
75	1044	9948
76	1057	9925
77	1070	9904
78	1083	9891
79	1097	9879
80	1110	9858
81	1125	9858
82	1140	9850
83	1153	9833
84	1166	9813
85	1179	9794
86	1192	9776
87	1206	9760
88	1219	9743
89	1233	9729
90	1247	9717
91	1260	9699
92	1273	9683
93	1286	9666
94	1296	9618
95	1309	9606
96	1323	9591
97	1337	9580
98	1351	9566
99	1365	9560
100	1379	9543
101	1392	9526
102	1405	9509
103	1419	9502
104	1433	9488
105	1446	9470
106	1460	9456
107	1473	9441
108	1486	9425
109	1500	9412
110	1514	9398
111	1527	9384
112	1540	9368
113	1554	9352
114	1568	9340
115	1581	9324
116	1595	9312
117	1608	9298
118	1623	9288
119	1636	9275
120	1652	9270
121	1665	9258
122	1679	9244
123	1693	9231
124	1706	9216
125	1720	9202
126	1735	9195
127	1748	9177
128	1761	9162
129	1774	9147
130	1788	9135
131	1802	9120
132	1816	9107
133	1830	9096
134	1843	9082
135	1857	9067
136	1870	9051
137	1884	9038
138	1898	9028
139	1911	9013
140	1927	9007
141	1941	8997
142	1955	8985
143	1970	8976
144	1985	8968
145	2000	8960
146	2014	8947
147	2028	8937
148	2043	8928
149	2057	8916
150	2071	8902
151	2085	8888
152	2098	8875
153	2112	8861
154	2125	8846
155	2139	8831
156	2152	8814
157	2165	8799
158	2178	8784
159	2191	8767
160	2205	8752
161	2218	8735
162	2230	8718
163	2244	8703
164	2257	8689
165	2271	8674
166	2284	8659
167	2297	8644
168	2310	8628
169	2324	8612
170	2339	8604
171	2352	8590
172	2366	8577
173	2380	8563
174	2394	8551
175	2407	8536
176	2420	8521
177	2434	8506
178	2447	8491
179	2462	8482
180	2475	8466
181	2489	8452
182	2502	8438
183	2517	8427
184	2531	8414
185	2544	8399
186	2559	8390
187	2573	8376
188	2587	8365
189	2601	8351
190	2614	8337
191	2628	8323
192	2642	8310
193	2656	8296
194	2669	8280
195	2684	8274
196	2699	8263
197	2714	8253
198	2727	8238
199	2741	8225
200	2756	8213
201	2770	8202
202	2784	8189
203	2799	8179
204	2812	8162
205	2825	8148
206	2838	8132
207	2852	8119
208	2866	8106
209	2880	8093
210	2894	8080
211	2908	8065
212	2921	8051
213	2935	8037
214	2948	8023
215	2962	8010
216	2976	7997
217	2989	7982
218	3003	7968
219	3017	7953
220	3030	7939
221	3043	7924
222	3056	7909
223	3070	7894
224	3083	7880
225	3097	7866
226	3111	7853
227	3124	7839
228	3137	7823
229	3150	7808
230	3163	7793
231	3177	7779
232	3191	7765
233	3204	7752
234	3219	7739
235	3234	7728
236	3248	7716
237	3262	7704
238	3277	7692
239	3290	7678
240	3304	7664
241	3318	7651
242	3333	7641
243	3348	7630
244	3362	7617
245	3377	7605
246	3391	7592
247	3404	7578
248	3419	7566
249	3433	7552
250	3446	7539
251	3460	7524
252	3474	7511
253	3487	7496
254	3501	7483
255	3515	7470
256	3529	7457
257	3543	7443
258	3556	7429
259	3570	7415
260	3584	7403
261	3599	7390
262	3613	7377
263	3626	7362
264	3642	7353
265	3655	7339
266	3670	7327
267	3684	7313
268	3698	7300
269	3711	7285
270	3725	7273
271	3739	7258
272	3753	7245
273	3766	7231
274	3781	7218
275	3798	7211
276	3812	7198
277	3826	7185
278	3841	7173
279	3855	7159
280	3868	7144
281	3881	7129
282	3894	7114
283	3909	7103
