idx,title,body,oof_p,entity_support,entity_conflict,entity_conflict_fullbody,phrase_entity_support,phrase_entity_conflict,person_support,person_conflict,person_substitution,person_type_match,canonical_entity_support,canonical_entity_conflict,qty_context_token_overlap,qty_context_exact_match,qty_context_conflict,argument_binding_conflict,pred_score,polarity_score,qty_score,claim_support_score,claim_conflict_score,claim_margin,found_predicate_chunk,num_mismatch,neg_mismatch,bigram_ov,title_cov,content_cov,idf_title_cov
7771,Wisatawan ke Garut Pemprov Siapkan 5 000 Alat Rapid Antigen,Pemkab Garut menyiapkan ribuan alat rapid test antigen Alat tersebut diperuntukkan mendeteksi virus Corona di kalangan wisatawan yang tengah berlibur di Garut Antigen kita ada ribuan lah Lima ribuan ribu kita siapkan ucap Bupati Garut Rudy Gunawan Senin 28 12 2020 Alat rapid test antigen tersebut dibeli oleh Pemkab Garut Selain untuk wisatawan alat akan digunakan untuk mengecek warga di sejumlah klaster penyebaran COVID 19 Itu digunakan untuk beberapa hal Berhubungan dengan klaster baru juga kata Rudy Kasus COVID 19 di Garut sendiri terus mengalami peningkatan Hingga Senin siang ini Pemda mengkonfirmasi ada 3 693 kasus Corona di Garut Dari jumlah tersebut 98 kasus di antaranya dinyatakan meninggal dunia,0.9949710818588675,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.7385999999999999,1.7386,0.2614000000000001,1.4771999999999998,0.0,1.0,0.0,0.009345794392523364,0.6,0.0821917808219178,0.6971966031014433
3322,Prancis tak Akan Dapat 1 16 Juta Dosis Vaksin COVID 19 hingga Akhir Tahun,Prancis akan menerima sekitar 1 16 juta dosis vaksin COVID 19 hingga akhir tahun Perdana Menteri Prancis Jean Castex mengatakan akan menambah 2 3 juta lagi dan akan tiba dalam dua bulan ke depan Seperti dilansir AFP Kamis 17 12 2020 pemberian sekitar 3 9 juta dosis untuk sekitar 1 7 juta dengan prioritas diberikan kepada orang tua orang rentan dan pengasuh Vaksin COVID 19 diberikan dalam dua dosis selama beberapa minggu Jean Castex menyebut pemerintah Prancis akan jauh lebih transparan dalam fase manajemen epidemi ini Hal ini menyusul pihak berwenang mendapat kecaman atas distribusi tes dan masker di awal tahun Kita tidak boleh melewatkan belokan di jalan ini kata Jean Castex Jean Castex mengatakan Prancis akan menerima sekitar 1 16 juta dosis pada akhir tahun 677 000 dosis lagi sekitar 5 6 Januari dan sekitar 1 6 juta dosis pada Februari Prancis telah memesan total sekitar 200 juta dosis yang akan cukup untuk membuat 100 juta orang Negara ini memiliki populasi di bawah 70 juta,0.9934568593435481,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.6428571428571428,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,0.0,0.061224489795918366,0.8571428571428571,0.12,0.8590512264075681
9205,Penjelasan Bupati Sleman soal Dinkes Positif Corona Usai Divaksin 1 Dosis kumparan com,Bupati Sleman Sri Purnomo terkonfirmasi positif corona Padahal orang nomor 1 di Sleman itu telah divaksin satu dosis Sinovac pada 14 Januari lalu Lalu apa penyebabnya sehingga SP sapaan akrab Sri Purnomo ini positif corona Kepala Dinas Kesehatan Kabupaten Sleman Joko Hastaryo menjelaskan bahwa SP baru mendapat satu kali vaksin Sinovac Itu artinya kekebalannya belum terbentuk Vaksin Sinovac ini harus diberikan dua kali agar antibodi terbentuk Memang betul dipublikasikan di berbagai media vaksin Sinovac diberikan dua kali Kalau baru satu kali belum memberikan efek kekebalan atau pembentukan antibodi belum memadai Sehingga harus dilakukan booster atau suntikan kedua setelah dua minggu Maka kekebalan akan terbentuk secara optimal kata Joko saat di Pemkab Sleman Kamis 21 1 Dia menegaskan Bupati Sleman tidak positif corona gara gara divaksin Namun murni karena kekebalan tubuh belum terbentuk secara optimal Klarifikasinya jadi bukan menjadi positif gara gara vaksin Kebetulan saja seminggu lalu diberikan vaksin tapi hari ini positif Kalau diberikan satu kali seperti seseorang yang belum divaksin Bedanya kalau diberikan suntikan vaksinasi sudah mulai kekebalan itu ada kurvanya Ini baru mau naik disuntik dua kali mencapai puncaknya kata Joko Meski baru disuntik vaksin Sinovac sekali paling tidak vaksin tersebut sudah memberi efek bahwa SP tidak bergejala berat Kalau dia ketularan virus COVID dia bedanya tidak akan terlalu berat gejalanya karena virus yang masuk lebih sedikit dibanding belum divaksin kata Joko Bupati Sleman Sri Purnomo terkonfirmasi positif corona Kabar tersebut diinformasikan Sri Purnomo sendiri melalui video akun Instagramnya sripurnomosp Sebelumnya orang nomor 1 di Sleman ini telah menerima vaksin Sinovac pada 14 Januari lalu Hari ini Kamis 21 Januari 2021 saya Sri Purnomo Bupati Kabupaten Sleman menyampaikan kondisi terkini yang sedang saya hadapi kata SP sapaan akrab Sri Purnomo Kamis 21 1 Sebelumnya Rabu 20 Januari 2021 saya menjalani tes swab antigen yang mana hasilnya dinyatakan positif Kemudian dilanjutkan dengan tes swab PCR di mana hasil yang saya terima pagi ini dinyatakan positif katanya Sri Purnomo melanjutkan bawah pada siang ini pukul 13 00 WIB dirinya ke rumah sakit untuk melakukan rontgen thorax dan juga CT Scan thorax Hasilnya paru paru Sri Purnomo bersih,0.9919558393917403,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.09090909090909091,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,0.0,1.0,0.006622516556291391,0.5384615384615384,0.03910614525139665,0.4578760884633845
13312,Tak Pernah Jadi Episenter Corona di Australia Kini Victoria Nihil Kasus Baru kumparan com,Negara Bagian Victoria di Australia melaporkan tidak ada kasus baru corona selama 16 hari Victoria kemudian memutuskan untuk melonggarkan aturan pembatasan Saat Australia berhadapan dengan gelombang baru virus corona Negara Bagian Victoria adalah episenter penyebaran kasus lokal Victoria sebelumnya telah melakukan lockdown ketat Aturan pembatasan yang dilonggarkan adalah menambah jumlah orang dalam pertemuan di rumah menjadi maksimal 30 orang Menteri Utama Victoria Daniel Andrews mengatakan keputusan tersebut mulai berlaku pada Jumat 22 1 2021 tengah malam demikian dikutip dari Reuters Ia juga mengatakan bahwa bepergian wajib dengan bukti pengujian COVID 19 dari sebagian besar wilayah New South Wales hingga Queensland akan diizinkan tanpa harus dikarantina 14 hari Victoria yang akan menjadi tuan rumah turnamen tennis Australia sempat melakukan karantina terhadap 72 orang pemain tenis di hotel mereka selama 2 minggu Hal tersebut dilakukan setelah salah satu pemain asal Spanyol terkonfirmasi positif COVID 19 saat melakukan karantina di Melbourne Sementara itu Kabinet Nasional Australia akan segera membahas rencana peluncuran vaksinasi dan kuota untuk jumlah warga yang akan kembali dari luar negeri Saat ini Australia telah mencatat sebanyak 28 700 kasus corona dan jumlah kematian sebanyak 909,0.9911887140204769,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,1.0,-1.0,0.5,2.5,1.0,1.5,1.0,0.0,0.0,0.010638297872340425,0.5,0.05263157894736842,0.47220871901286854
10342,Terawan Andalkan Telemedicine Atasi Faskes Merata,Menteri Kesehatan Terawan Agus Putranto akan membangun alat pelayanan jarak jauh atau telemedicine untuk mengatasi masalah fasilitas kesehatan di Indonesia tidak merata di tengah pandemi virus corona Covid 19 Kita bangun telemedicine ini untuk aksesibilitas bagi masyarakat Dalam situasi pandemi Kemenkes progresif bekerja sama dengan pihak pihak yang ahli untuk membangun platform layanan kesehatan digital ujar Terawan dalam kata sambutan yang diwakili oleh Sekjen Kemenkes Oscar Primadi dalam diskusi virtual Sabtu 22 8 Terawan menjelaskan salah satu fungsi layanan telemedicine adalah memungkinkan pasien untuk berkonsultasi dengan tenaga kesehatan tanpa harus tatap muka secara fisik Terawan mengatakan saat ini disparitas atau perbedaan kualitas maupun kuantitas fasilitas kesehatan antara kota kota besar dibandingkan desa atau wilayah 3T Terdepan Terluar Tertinggal menjadi sebuah tantangan dalam layanan kesehatan khususnya di kala pandemi Covid 19 ini Oleh karena itu pemanfaatan teknologi untuk telemedicine menjadi krusial untuk menutup disparitas fasilitas kesehatan di Indonesia Manfaat teknologi informasi menjadi keharusan dan keniscayaan Di bidang kesehatan teknologi tidak hanya berfungsi dalam tata kelola manajemen informasi dan sistem pelaporan dan pencatatan dengan teknologi informasi ini kita bisa bangun sistem kemudahan akses mendapatkan layanan kesehatan bermutu tutur Terawan Lebih lanjut Terawan mengatakan Kemenkes berkomitmen mengembangkan telemedicine dengan masukan program ini sebagai salah satu indikator dalam Rencana Strategis Kementerian Kesehatan pada 2015 2019 kemarin dan pada 2020 2024 Terawan membeberkan saat ini telah ada 10 168 puskesmas yang tersebar di kecamatan Sedangkan jumlah rumah sakit baik swasta maupun pemerintah berjumlah 2 877 berdasarkan data hingga Juni 2020 Klinik saat ini berjumlah 9 205 klinik Apotek berjumlah 30 260 kata Terawan Masih berhubungan dengan pemanfaatan teknologi Terawan menjelaskan pihaknya juga menyiapkan e learning bagi para tenaga kesehatan yang berada di wilayah 3T dalam lima tahun ke belakang Hal ini dilakukan agar tenaga kesehatan di wilayah 3T memiliki kualitas yang sama dibandingkan dengan tenaga kesehatan di kota kota besar Tenaga kesehatan yang jauh di ujung perbatasan sana di seberang sana tidak ketinggalan dengan nakes di Pulau jawa Kami kembangkan pelatihan jarak jauh yang akan berikan kemudahan untuk tingkatkan profesionalisme kata Terawan Sebelumnya Badan Pengkajian dan Penerapan Teknologi BPPT mengatakan pihaknya tengah memperbaiki infrastruktur alat pelayanan medis jarak jauh atau Telemedicine agar bisa diimplementasikan di seluruh rumah sakit maupun puskesmas di Indonesia demi menyembuhkan pasien virus corona Covid 19 Telemedicine sendiri merupakan pelayanan kesehatan jarak jauh oleh tenaga medis dengan menggunakan teknologi informasi dan komunikasi meliputi pertukaran informasi diagnosis dan pengobatan Ya alat alatnya Telemedicine memang belum begitu bagus dan banyak juga regulasi yang kurang maka mesti ditambahkan terkait pemanfaatan teknologi ini kata Pakar Teknologi Telemedicine dari Pusat Teknologi Elektronika BPPT Pratondo Busono,0.9886085342886204,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,3.5,0.0,3.5,1.0,0.0,1.0,0.0,0.5,0.012658227848101266,0.4535786619143906
5828,Korea Selatan Mulai Berikan Vaksin Corona Untuk Pasukannya di Korea Selatan,Amerika Serikat memulai kampanye vaksin virus Corona untuk pasukannya yang ditempatkan di Korea Selatan Pasukan AS Korea USFK memberikan dosis awal vaksin Moderna untuk petugas kesehatan militer dan sipil Dilansir AFP Rabu 30 12 2020 Washington memiliki sekitar 28 500 tentara yang ditempatkan di Korea Selatan Para tentara ini ditugaskan untuk mempertahankan diri dari Korea Utara yang bersenjata nuklir dan melindungi kepentingan AS di Asia Timur Laut Vaksinasi ini disebut bersifat sukarela Namun kepala USFK mendorong anggota layanan Amerika untuk menerimanya Saya ingin Anda membuat keputusan berdasarkan informasi untuk Anda dan keluarga Anda tentang vaksin itu katanya dalam pernyataan itu Penyuntikan dilakukan saat gelombang ketiga virus negara Asia Peningkatan kasus berpusat di wilayah Seoul yang telah melaporkan kasus harian naik menjadi lebih dari 1 000 beberapa kali bulan ini meskipun ada tindakan yang lebih ketat Negara itu melaporkan 1 046 kasus baru dan 40 kematian pada hari Selasa jumlah korban harian tertinggi sejak pertama kali mengidentifikasi infeksi pada Januari,0.9880190141619638,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,3.5,0.0,3.5,1.0,0.0,0.0,0.025157232704402517,0.7777777777777778,0.0603448275862069,0.7275390122155075
8840,Keluar Masuk Makassar Perlu Lagi Surat Bebas Covid 19,Pemerintah Kota Makassar Sulawesi Selatan menghentikan aturan harus mengantongi surat keterangan Suket bebas Covid 19 untuk keluar masuk wilayah tersebut Namun pos di perbatasan akan tetap dijaga sejumlah petugas Kasubag Pemberitaan Humas Pemkot Makassar Hamzah Bakrie Muhammad mengatakan jumlah petugas yang berjaga di perbatasan telah dikurangi Mulai hari ini Selasa 4 8 2020 di pos perbatasan Kota Makassar tidak ada lagi petugas medis yang berjaga Jadi petugas di pos tapal batas itu lebih ke penerapan protokol kesehatan dengan sweeping masker pemeriksaan kendaraan umum tidak boleh lebih angkutannya 50 persen kata Hamzah saat dikonfirmasi Selasa Setelah akses keluar masuk warga dilonggarkan Pemerintah Kota Makassar akan fokus ke penelusuran kontak orang yang positif terjangkit Covid 19 Jika ada orang yang terdeteksi positif Covid 19 maka petugas Dinas Kesehatan akan melakukan rapid test kepada seluruh keluarganya ” sebutnya Secara terpisah Ketua Satgas Penegakan Pengendalian Covid 19 Kota Makassar Muh Sabri menyatakan meski sudah ada pelonggaran akses keluar masuk kedisiplinan warga belum baik “Dari pantauan anggota kami di lapangan masih ada beberapa kecamatan yang belum menerapkan aturan protokol seperti tidak menyediakan alat cuci tangan di fasilitas umum serta masih banyak warganya yang tidak menggunakan masker saat beraktivitas ” ungkap Sabri,0.9868179719329672,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.2222222222222222,1.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,4.0,1.0,1.0,1.0,0.016304347826086956,0.8888888888888888,0.06060606060606061,0.8850604569354108
2813,Varian Baru Corona Muncul di Inggris Mirip dengan yang Ditemukan di Brasil kumparan com,Varian virus corona baru ditemukan di Brasil Untuk mencegah penyebaran varian itu Inggris melarang penerbangan dan orang orang dari Brasil masuk negaranya Inggris sebagai negara yang paling terdampak varian baru bergerak cepat mendengar kabar dari Brasil PM Boris Johnson bahkan membenarkan dirinya begitu khawatir mendengar informasi tersebut Langkah yang diambil Inggris adalah melarang masuk pendatang dari Brasil dan berbagai negara Amerika Selatan dan Portugal Terkait kenapa Portugal dimasukkan dalam daftar Shapps menjelaskan dua negara itu berhubungan erat Banyak orang Brasil berkunjung ke Portugal begitu pula sebaliknya Selengkapnya simak video di atas kumparanvideo Simak panduan lengkap corona di Pusat Informasi Corona,0.9850631090867737,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,3.5,0.0,3.5,1.0,0.0,0.0,0.028037383177570093,0.6153846153846154,0.11594202898550725,0.501005739489847
2746,Tambah 5 121 Kasus Corona RI Per 14 Desember Jadi 623 309,Pemerintah kembali memperbarui informasi soal penanganan wabah virus Corona COVID 19 Hari ini dilaporkan kasus COVID 19 di Indonesia lebih dari 623 ribu kasus Berdasarkan data Kementerian Kesehatan Kemenkes dilaporkan ada 5 489 kasus baru Corona pada Senin 14 12 2020 sehingga sejak Maret sudah ada 623 309 kasus COVID 19 di Tanah Air Penghimpunan data ini dilakukan setiap hari per pukul 12 00 WIB Selain itu dilaporkan ada penambahan pasien sembuh Corona sebanyak 5 121 sehingga hingga hari ini total ada 510 957 pasien Corona yang sembuh Sementara itu dilaporkan hingga hari ini total pasien meninggal akibat COVID 19 sebanyak 18 956 orang Dilaporkan juga pemerintah pada hari ini memantau kasus suspek Corona sebanyak 64 067 Kasus Corona telah ditemukan di 34 provinsi pada 510 kabupaten kota Pemerintah terus mengingatkan agar masyarakat mematuhi protokol kesehatan demi mencegah penularan COVID 19 Masyarakat diminta disiplin memakai masker rajin mencuci tangan memakai sabun dan menjaga jarak Tonton video Respons BPOM Bio Farma soal Beredarnya PO Vaksin Corona Gambas Video 20detik,0.9824457748791402,0.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.2261904761904762,0.0,0.6666666666666666,0.0,1.0,1.0,1.0,3.0,0.0,3.0,1.0,0.0,0.0,0.018633540372670808,0.6666666666666666,0.07339449541284404,0.6921659445497806
4119,Pemerintah Swedia Kritik soal Perlindungan Lansia dari Corona,Raja Swedia Carl XVI Gustaf mengkritik pemerintah setempat karena dinilai gagal melindungi kelompok masyarakat lanjut usia lansia dari virus corona Covid 19 Saya pikir kita gagal Jumlah korban meninggal sangat besar dan ini menyedihkan Ini adalah hal yang menjadi penderitaan kita semua kata Raja Carl XVI Gustaf Dalam rekaman pidato menjelang natal yang disiarkan melalui stasiun televisi setempat Raja Carl XVI Gustaf menyatakan dia memahami rasa sedih para penduduknya ketika anggota keluarga mereka meninggal akibat Covid 19 Mari kita renungkan pengalaman para keluarga yang tidak bisa menyampaikan ucapan selamat tinggal terakhir kepada anggota keluarganya yang meninggal Saya pikir hal ini sangat berat dan menjadi trauma karena tidak bisa menyampaikan salam perpisahan terakhir lanjut Raja Carl XVI Gustaf Anak Raja Carl XVI Gustaf Pangeran Carl Philip beserta sang istri Putri Sofia dinyatakan positif Covid 19 Mereka kini menjalani karantina di kediaman kerajaan bersama dengan dua anaknya Rakyat Swedia sudah amat menderita dalam keadaan ini Kini ancaman itu semakin mendekat Dan itu bukan yang kita inginkan lanjut Raja Carl XVI Gustaf Carl Gustaf adalah kepala negara Swedia Namun jabatannya hanya simbolis lantaran dia tidak mempunyai kekuatan politik Perdana Menteri Swedia Stefan Lofven beberapa hari lalu mengakui mereka salah perhitungan dalam menghadapi pandemi Menurut penilaian komite independen pemerintah Swedia gagal melindungi keselamatan kelompok penduduk lanjut usia yang berada di panti jompo Pemerintah Swedia selama ini tetap mempertahankan kebijakan tidak menerapkan penguncian wilayah berbeda seperti yang dilakukan kebanyakan negara Eropa lainnya tetapi meminta penduduknya bertanggung jawab menjaga kesehatan diri sendiri dan orang lain Sampai saat ini dari 10 juta lebih penduduk Swedia ada 341 029 orang yang terinfeksi Covid 19 Dari jumlah itu ada 7 667 pasien yang meninggal akibat Covid 19 atau komplikasi dengan penyakit lain Jumlah kematian akibat Covid 19 di Swedia lebih tinggi dari negara tetangganya seperti Denmark Finlandia atau Norwegia Dalam laporan komisi itu negara negara tetangga Swedia dilaporkan bisa menekan tingkat kematian akibat infeksi Covid 19 pada kelompok lansia dengan melindungi mereka melalui metode karantina dan isolasi Epidemiolog Swedia Anders Tegnell tetap menyatakan strategi membentuk kekebalan kelompok herd immunity yang mereka terapkan akan berkesinambungan dalam jangka panjang Swedia kini mengalami lonjakan kasus infeksi yang membuat rumah sakit dan tenaga medis mereka kewalahan menangani pasien Jumlah tenaga kesehatan yang terinfeksi juga bertambah dan membuat pemerintah setempat menerapkan sejumlah larangan seperti tidak mengizinkan penjualan alkohol di restoran dan bar selepas pukul 22 00 waktu setempat Mereka juga membatasi kerumunan maksimal hanya boleh diikuti delapan orang dengan menjaga jarak dan menerapkan protokol kesehatan lain,0.9810849797166044,1.0,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,3.5,0.0,3.5,1.0,0.0,1.0,0.005235602094240838,0.625,0.02100840336134454,0.5413588322725053
